1D Transient Heat Conduction Solver

Enter Length of slab (L): 1
Enter Number of nodes: 6 
Enter Fourier Number (beta): 0.2
Enter Initial Peak Temp at x=0: 100
Enter Right Boundary Temp: 0
Enter Convergence Tolerance: 0.0001

Grid Info:
Total Nodes: 6
Number of Divisions in slab: 5
Spatial Step (dx): 0.20
 
Step n=327: 0.16, 0.15, 0.13, 0.09, 0.05, 0.00
Step n=328: 0.15, 0.15, 0.12, 0.09, 0.05, 0.00
Step n=329: 0.15, 0.14, 0.12, 0.09, 0.05, 0.00
Step n=330: 0.15, 0.14, 0.12, 0.09, 0.05, 0.00
Step n=331: 0.14, 0.14, 0.12, 0.08, 0.04, 0.00
Step n=332: 0.14, 0.13, 0.11, 0.08, 0.04, 0.00
Step n=333: 0.14, 0.13, 0.11, 0.08, 0.04, 0.00
Step n=334: 0.14, 0.13, 0.11, 0.08, 0.04, 0.00
Step n=335: 0.13, 0.13, 0.11, 0.08, 0.04, 0.00
Step n=336: 0.13, 0.12, 0.11, 0.08, 0.04, 0.00
Step n=337: 0.13, 0.12, 0.10, 0.08, 0.04, 0.00
Step n=338: 0.13, 0.12, 0.10, 0.07, 0.04, 0.00
Step n=339: 0.12, 0.12, 0.10, 0.07, 0.04, 0.00
Step n=340: 0.12, 0.11, 0.10, 0.07, 0.04, 0.00
Step n=341: 0.12, 0.11, 0.10, 0.07, 0.04, 0.00
Step n=342: 0.12, 0.11, 0.09, 0.07, 0.04, 0.00
Step n=343: 0.11, 0.11, 0.09, 0.07, 0.04, 0.00
Step n=344: 0.11, 0.11, 0.09, 0.07, 0.03, 0.00
Step n=345: 0.11, 0.10, 0.09, 0.06, 0.03, 0.00
Step n=346: 0.11, 0.10, 0.09, 0.06, 0.03, 0.00
Step n=347: 0.10, 0.10, 0.08, 0.06, 0.03, 0.00
Step n=348: 0.10, 0.10, 0.08, 0.06, 0.03, 0.00
Step n=349: 0.10, 0.10, 0.08, 0.06, 0.03, 0.00
Step n=350: 0.10, 0.09, 0.08, 0.06, 0.03, 0.00
Step n=351: 0.10, 0.09, 0.08, 0.06, 0.03, 0.00
Step n=352: 0.09, 0.09, 0.08, 0.06, 0.03, 0.00
Step n=353: 0.09, 0.09, 0.08, 0.05, 0.03, 0.00
Step n=354: 0.09, 0.09, 0.07, 0.05, 0.03, 0.00
Step n=355: 0.09, 0.09, 0.07, 0.05, 0.03, 0.00
Step n=356: 0.09, 0.08, 0.07, 0.05, 0.03, 0.00
Step n=357: 0.09, 0.08, 0.07, 0.05, 0.03, 0.00
Step n=358: 0.08, 0.08, 0.07, 0.05, 0.03, 0.00
Step n=359: 0.08, 0.08, 0.07, 0.05, 0.03, 0.00
Step n=360: 0.08, 0.08, 0.07, 0.05, 0.03, 0.00
Step n=361: 0.08, 0.08, 0.06, 0.05, 0.02, 0.00
Step n=362: 0.08, 0.07, 0.06, 0.05, 0.02, 0.00
Step n=363: 0.08, 0.07, 0.06, 0.04, 0.02, 0.00
Step n=364: 0.07, 0.07, 0.06, 0.04, 0.02, 0.00
Step n=365: 0.07, 0.07, 0.06, 0.04, 0.02, 0.00
Step n=366: 0.07, 0.07, 0.06, 0.04, 0.02, 0.00
Step n=367: 0.07, 0.07, 0.06, 0.04, 0.02, 0.00
Step n=368: 0.07, 0.07, 0.06, 0.04, 0.02, 0.00
Step n=369: 0.07, 0.06, 0.05, 0.04, 0.02, 0.00
